dataset,seed,scope_type,scope,event_count,mae_full,mse_full,mae_no_update,mse_no_update,mae_no_ltm,mse_no_ltm,mae_delta_full_minus_no_update,mae_delta_full_minus_no_ltm,mse_delta_full_minus_no_update,mse_delta_full_minus_no_ltm,help_share_vs_no_update,harm_share_vs_no_update,help_share_vs_no_ltm,harm_share_vs_no_ltm,online_update_residual_norm_mean,long_term_residual_norm_mean,causal_surprise_mean,causal_surprise_max_mean,rmse_full,rmse_no_update,rmse_no_ltm
intermittent_frozen_5000,42,history,history_65_128,28456,1.2386787108237032,8.77079940993187,1.8091052329570416,11.526608525602164,20.481281815444966,1631.1756236246724,-0.5704265221333383,-19.242603104625452,-2.755809112197183,-1622.4048258262071,0.7768484678099522,0.2231515321900478,0.8989316840033736,0.10106831599662637,1.4746604767791134,6.367513381717646,4.073653404175448,39.801705554324585,2.961553546693335,3.395085937881715,40.38781528660188
intermittent_frozen_5000,42,history,history_gt_128,32741,0.1424394088620712,0.6831773766126545,0.30813680127204357,2.9899466139138875,0.4098672148820254,9.310440381470125,-0.16569739240997236,-0.26742780601995414,-2.3067692417916352,-8.627263013915062,0.8876637854677621,0.11233621453223787,0.651293485232583,0.348706514767417,2.0406901336689116,6.5963957350574685,8.105670122700356,51.10176299058948,0.8265454473969683,1.7291462095247723,3.051301424223789
intermittent_frozen_5000,42,history,history_le_64,25088,0.7145131074167712,1.657185339821862,0.8281769244480232,1.9306219174825932,11.505625748184833,350.9394846199798,-0.11366381703125199,-10.79111264076806,-0.2734365779382114,-349.2822997047702,0.6020408163265306,0.3968032525510204,0.9855707908163265,0.014429209183673469,1.0423447028032922,6.237050472397585,5.062038517129436,38.324192003099895,1.287317109271007,1.3894682139158827,18.73337888956447
intermittent_frozen_5000,42,overall,overall,86285,0.6703037019137084,3.6336007915877273,0.954347895926587,5.49725278966788,10.255408896021503,643.5178358293962,-0.2840441940128786,-9.585105194109177,-1.863651998719323,-639.8842356961513,0.7680709277394681,0.23159297676305268,0.8301558787738309,0.1698441212261691,1.5637424592641744,6.416430153597781,5.890989732564086,43.659934916874555,1.9062006168259749,2.3446220995435234,25.367653337062855
intermittent_frozen_5000,42,quantity,gt_p99,1141,7.41022216636397,106.27163814437513,7.915427767112525,112.76431713715616,168.31605795911275,29906.761517617495,-0.5052056007485553,-160.90583579274877,-6.49267899279632,-29800.489919410058,0.4750219106047327,0.5249780893952674,1.0,0.0,0.7240531121712834,6.437095640836109,2.4827931428770555,48.95873794756262,10.30881361478493,10.61905443705588,172.93571498570645
intermittent_frozen_5000,42,quantity,le_p50,45036,0.06056761948367145,0.032130461968761036,0.1192328194279539,0.07153268675603443,0.0802738192262187,0.04753845137682386,-0.058665199944282445,-0.01970619974519423,-0.03940222474131226,-0.01540798938875007,0.8902433608668621,0.1091127098321343,0.677347011279865,0.322652988720135,1.9066902802806625,6.621370400572683,7.353543363966181,49.22956972234848,0.17924971957791463,0.2674559529268968,0.21803314284031192
intermittent_frozen_5000,42,quantity,p50_p90,29579,0.8222880043587372,1.9054393908742524,1.1963035400629793,3.8798606523983947,11.597343318932857,161.85929313886118,-0.3740155357042422,-10.77505531457412,-1.974421259840606,-159.95385370690906,0.6427533047094223,0.3572466952905778,0.99580783664086,0.00419216335913993,1.1205160221992188,6.177776697276109,4.686513652617414,36.98835882986933,1.3803765395261731,1.9697361885284015,12.722393373059221
intermittent_frozen_5000,42,quantity,p90_p95,7124,1.3271097630881514,4.483403426195182,2.438814279940743,9.900022275367427,21.388503493116787,463.27767611058624,-1.1117045168525914,-20.061393730028634,-5.416618847579246,-458.79427254112966,0.6831836047164515,0.31681639528354855,1.0,0.0,1.5497736368267674,6.18173600012904,3.563276438683623,35.914040195480084,2.117404880082027,3.146430084296714,21.523886175841625
intermittent_frozen_5000,42,quantity,p95_p99,3405,3.7819621978177196,30.109110115508347,4.459635982429403,46.154087546327005,56.92058908179643,3909.5901424010244,-0.6776737846116837,-53.13862688397871,-16.0449774655761,-3879.4810362425146,0.5165932452276064,0.48340675477239353,1.0,0.0,1.18864588091552,6.263074338663692,3.0219778204804477,42.379551867066326,5.487176880282642,6.793679970849893,62.52671542949481
intermittent_frozen_5000,42,quantity_region,body_le_p95,81739,0.44659844314505565,1.0979799757289557,0.7111580102225137,2.3062638765797776,6.105099507436487,98.97560696928514,-0.2645595670774581,-5.6585010642928895,-1.2082839000774364,-97.87762696619463,0.7826374191022645,0.21700779309754217,0.8207098202816281,0.17929017971837188,1.5910891284711643,6.422530023047023,6.058079345471972,43.639305474705964,1.0478453968639436,1.518638823611387,9.94864849963477
intermittent_frozen_5000,42,quantity_region,extreme_tail_gt_p99,1141,7.41022216636397,106.27163814437513,7.915427767112525,112.76431713715616,168.31605795911275,29906.761517617495,-0.5052056007485553,-160.90583579274877,-6.49267899279632,-29800.489919410058,0.4750219106047327,0.5249780893952674,1.0,0.0,0.7240531121712834,6.437095640836109,2.4827931428770555,48.95873794756262,10.30881361478493,10.61905443705588,172.93571498570645
intermittent_frozen_5000,42,quantity_region,tail_p95_p99,3405,3.7819621978177196,30.109110115508347,4.459635982429403,46.154087546327005,56.92058908179643,3909.5901424010244,-0.6776737846116837,-53.13862688397871,-16.0449774655761,-3879.4810362425146,0.5165932452276064,0.48340675477239353,1.0,0.0,1.18864588091552,6.263074338663692,3.0219778204804477,42.379551867066326,5.487176880282642,6.793679970849893,62.52671542949481
intermittent_frozen_5000,42,surprise,no_prior_visible_write,29,0.02503806763681872,0.0006395722408216961,0.02503806763681872,0.0006395722408216961,0.07884149304751692,0.0062390930533152205,0.0,-0.0538034254106982,0.0,-0.00559952082754723,0.0,0.0,1.0,0.0,0.0,7.095357401617642,0.0,0.0,0.025289765535126973,0.025289765535126973,0.0789879297950973
intermittent_frozen_5000,42,surprise,surprise_ge_p99,869,0.2369791090282664,0.140739222003922,0.3770889795553561,0.30982071879536416,0.34563618816083813,0.3590662468546097,-0.14010987052708967,-0.10865707913257174,-0.16908149628843147,-0.21832702441986818,0.7491369390103567,0.2508630609896433,0.5466052934407365,0.4533947065592635,2.3754479038701644,6.593562039462003,14.012407424672151,55.336356111445276,0.37515226509235156,0.5566154137242016,0.5992213671545847
intermittent_frozen_5000,42,surprise,surprise_le_p50,43131,1.1769453451009422,7.112506808751892,1.6698313213160865,10.762584014018815,19.36538684840482,1276.914824915147,-0.4928859762151442,-18.188441503303878,-3.6500772066847995,-1269.802319431228,0.7042962138601007,0.2957037861398994,0.9370754213906471,0.0629245786093529,1.2893631119028934,6.283529155273325,3.9442890114130966,37.86022181047808,2.666928347134938,3.2806377450152606,35.73394499513239
intermittent_frozen_5000,42,surprise,surprise_p50_p90,34503,0.15835640296774892,0.16512321297904092,0.22436591152681445,0.23580700877765776,1.3383923139592322,12.749281961685627,-0.06600950855906554,-1.1800359109949383,-0.07068379568446889,-12.584158739310476,0.837492391965916,0.16250760803408398,0.7595281569718575,0.24047184302814248,1.7334090335605503,6.537796184276769,6.908616208368166,47.64273082450228,0.406353556621621,0.48559963836236303,3.5706136673806683
intermittent_frozen_5000,42,surprise,surprise_p90_p99,7753,0.18107743051364839,0.1207462898151631,0.2908164591431295,0.22238409283682048,0.4073600122947993,1.4346015862240225,-0.1097390286294811,-0.2262825817811509,-0.10163780281166537,-1.3138552949025109,0.8189088094930994,0.18109119050690056,0.5808074293821747,0.41919257061782533,2.249957642812168,6.593270641564554,11.303773072832064,57.05453660468755,0.34748566850326806,0.4715761792508401,1.1977485488298545
